reviewContent
"Pengiriman cepet,sehari sampe..Recomended banget"
walau nyampe nya agak telat...alhamdulillah barang oke
"Sesuai pesanan, proses tidak lama"
bagus
bagus sesuai dengan gambar
good..
"pengiriman cepat, barang sesuai dengan deskripsi produk"
"Alhamdulillaah sampai dg selamat ke madura sampang tamberu,,  semoga awet.  Mksih pk kurir yg ramah mksih lazada"
pengiriman nya lama tp bagus aman tidak ada yg lecet  pokok nya bagus deh untuk lazada
ok
barang ceper nyampenya thanks seller
"biasa saja. smart tv yg sangat standart, nanggung rasa nya klu mau nyari smart tv. untuk dongle aja ribet harus pake internet segala lah harus sesama xiomi lah. smart goblok"
"good quality, good seller, good service and good everything.  semoga pelayanan kedepan nya lebih baik lagi thank you"
alhmdulillah udh nympe3
Padahal sAya di jember Tapi pengirIman cuma tiga Hari sempet hawatir karna banyak surfei yg buruk akibat pengiriman telat best untuk lazada
Lumayan bagus
"Kw ni barang, tapi wajar sih kalo liat harga"
"fd nya bagus, pengiriman cepat, tq"
Luar biasa.... sampai ke sudut Sulawesi Selatan. packing sangat aman dan rapi. Recommended banget deh... Thanks
Barang Original Serta Mendatkan Kartu Garansi 10Tahun. Mantap .. Mudah Mudahan Memorinya Selalau Baik. aamiin
"terima kasih lazada, Alhamdulillah pesanan sudah di trima dengan muluss"
Sudah bayar transfer 3 minggu ga dteng2 barangnya tapi di pemberitahuannya sudah diterima tapi barangnya belum dateng2.. wahh parah nih
"barang bagus pack rapih, original."
"Barang sesuai deskripsi. Pas beli lagi diskon lumayan, jadinya murceeee say. Makasih yaaa"
samsung micro sd...lumayan dapat harga potongan trimakasih
cepat dan bagus mudah2an awet
Mantap g da masalah..
"klo pilih COD cpt banget pengirimannya, 2-3hr sdh nyampek di Maluku, brngnya sesuai iklannya, packing jg sangat rapi, thanks u seller dan Lazada,,,,"
"barang dah diterima dengan baik, sesuai"
Produk bagus. sesuai dengan harga .. cocok untuk yg berkantong tipis.
udah dipakai selama seminggu nggak ada masalah.susah nya dinyari saluran tv nya karena tidak ada di buku panduan tapi setelah nyari di google semua dapat diatasi.tv  nya mantap
"pengiriman nya cepat, udh di tes semua berjalan dengan baik semoga awet ni TV nya."
"TOLONG UNTUK ORDER SAYA YANG BERIKUTNYA DIKIRIM OLEH LEX SAJA, PENGIRIMAN OLEH JNE TERLALU LAMA. UNTUK KUALITAS BARANG BAGUS, MASIH SEGEL ASLI ASUS, TOP!!!"
"Mantuuul.....dapat harga flash sale jadi cuma 1,9 k TV berfungsi dengan baik pengirimannya juga terhitung cepat cuma 2 hari. Tadinya dag dig dug pas mau dibuka, takut layarnya pecah. Tapi ternyata nggak. Thx Lazada dan Coocaa"
"bagus pakingnya,tapi belum dicoba,mudah2an sesuai deskripsi"
Barang diterima dengan kondisi yang baik tapi packagingnya kurang
Produk bagus sesuai deskripsi
"alhamdulillah tv yg ditunggu2 sudah sampai siang tadi.product OK banget,dapat harga OK pas flash sale.terima kasih lazada"
"barang mati sendiri, cara mengembalikan barang bagaimana.?"
"pengiriman cepat, produk tepat.. recommen guys"
pengiriman cepat.. kualitaa oke..
"barang sudah sampai dalam kondisi baik, & berfungsi dengan baik jga, semoga awet dipakainya & tdk mudah rusak"
"mantap, barang sesuai pesanan."
"Untuk Harga dibawah 2 jt TV ini lumayan oke, packing rapi, tapi ada satu kesalahan yang mengurangi nilai sempurna untuk produk ini,yaitu paket hook selama 6 bulan, namun yang di terima hanya 3 bulan , harusnya penjual merubah promo voucher dari 6 menjadi 3 biar yang lain tidak kecewa. dan over all produk ini oke, terima kasih :D"
"Barang udh keterima dengan baik.. packing rapi pake buble warp, tp sayang 32giga cuman free spacenya 28 giga,, engga apa2 mungkin sisanya d pake sistem.. pokonya puas banget,, semoga sukses trus gan.."
Barang yang saya pesan yaitu TV dan bracket nya sama sekali belum saya terima. Tapi saya dapat email dari Lazada barang sudah di terima. Saya cansel saja pesanan saya. Terimakasih
Kabel OTG nya rusak ya gan? Ko saya colokin ga bisa connect
Mohon petunjuk nya
kecewa barang Gak bisa dipakai
cakep
